,critics,date,rating,rating1,rating_count,subtext,tconst,time,title,user
164,68 critic,"17 October 1985 (Hungary)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","25,226","
Not Rated
| 
                        2h 20min
                    
|
Drama, 
War
|
17 October 1985 (Hungary)

 ",tt0091251,"
                        2h 20min
                    ",Come and See (1985) ,400 user
165,297 critic,"25 June 1982 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","256,683","
R
| 
                        1h 49min
                    
|
Horror, 
Mystery, 
Sci-Fi
|
25 June 1982 (USA)

 ",tt0084787,"
                        1h 49min
                    ",The Thing (1982) ,912 user
166,488 critic,"21 November 2007 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.1/10 ","609,239","
R
| 
                        2h 2min
                    
|
Crime, 
Drama, 
Thriller
|
21 November 2007 (USA)

 ",tt0477348,"
                        2h 2min
                    ",No Country for Old Men (2007) ,"1,515 user"
167,274 critic,"19 October 2007 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","424,307","
R
| 
                        2h 28min
                    
|
Adventure, 
Biography, 
Drama
|
19 October 2007 (USA)

 ",tt0758758,"
                        2h 28min
                    ",Into the Wild (2007) ,760 user
168,170 critic,"9 April 2009 (Australia)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.2/10 ","118,591","
Not Rated
| 
                        1h 32min
                    
|
Animation, 
Comedy, 
Drama
|
9 April 2009 (Australia)

 ",tt0978762,"
                        1h 32min
                    ",Mary and Max (2009) ,164 user
169,568 critic,"3 October 2014 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.1/10 ","565,944","
R
| 
                        2h 29min
                    
|
Crime, 
Drama, 
Mystery
|
3 October 2014 (USA)

 ",tt2267998,"
                        2h 29min
                    ",Gone Girl (2014) ,"1,126 user"
170,354 critic,"10 October 2003 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.1/10 ","732,484","
R
| 
                        1h 51min
                    
|
Action
|
10 October 2003 (USA)

 ",tt0266697,"
                        1h 51min
                    ",Kill Bill: Vol. 1 (2003) ,"2,104 user"
171,124 critic,"23 February 1934 (USA)

","[<meta content=""UNRATED"" itemprop=""contentRating""/>]","
8.2/10 ","64,568","
Unrated
| 
                        1h 45min
                    
|
Comedy, 
Romance
|
23 February 1934 (USA)

 ",tt0025316,"
                        1h 45min
                    ",It Happened One Night (1934) ,235 user
172,117 critic,"17 August 1979 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.1/10 ","271,105","
R
| 
                        1h 34min
                    
|
Comedy
|
17 August 1979 (USA)

 ",tt0079470,"
                        1h 34min
                    ",Life of Brian (1979) ,319 user
173,393 critic,"27 September 2013 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.1/10 ","310,767","
R
| 
                        2h 3min
                    
|
Action, 
Biography, 
Drama
|
27 September 2013 (USA)

 ",tt1979320,"
                        2h 3min
                    ",Rush (2013) ,475 user
174,398 critic,"25 January 2008 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.1/10 ","371,328","
R
| 
                        2h 38min
                    
|
Drama
|
25 January 2008 (USA)

 ",tt0469494,"
                        2h 38min
                    ",There Will Be Blood (2007) ,"1,107 user"
175,75 critic,"26 May 1957 (Italy)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","25,739","
Not Rated
| 
                        1h 50min
                    
|
Drama
|
26 May 1957 (Italy)

 ",tt0050783,"
                        1h 50min
                    ",Nights of Cabiria (1957) ,78 user
